sample_id,field_id,class,road_class,urbimpact,water_factor,soil_ph,loi_105_gkg,tc_105_gkg,tn_105_gkg,tic_105_gkg,toc_105_gkg,cn_ratio,Na_40_gkg,Mg_40_gkg,K_40_gkg,Ca_40_gkg,Mn_40_gkg,Fe_40_gkg,P_40_gkg,S_40_gkg,Cu_40_gkg,Zn_40_gkg,Pb_40_gkg,Cd_40_gkg,Al_40_gkg,Si_40_gkg,undissolved_silicates_percent,Na_105_gkg,Mg_105_gkg,K_105_gkg,Ca_105_gkg,Mn_105_gkg,Fe_105_gkg,P_105_gkg,S_105_gkg,Cu_105_gkg,Zn_105_gkg,Pb_105_gkg,Cd_105_gkg,Al_105_gkg,Si_105_gkg
49,agric_ref 8a (abira),Rural,uninf_road,Rural,1.010666904,5.54,20.69272549,10.46170005,0.695684159,,10.46170005,15.03800241,0.059647709,0.34010954,1.689571786,0.4236128,0.056038735,5.832903803,0.12829596,0.07762404,0.000541673,0.011104107,0.007832577,0.000254714,23.40428652,0.208395574,91.81879648,0.060283965,0.343737456,1.707594286,0.428131437,0.056636495,5.895122828,0.12966448,0.078452049,0.000547451,0.011222553,0.007916126,0.000257431,23.6539378,0.21061851
50,agric_ref 8b (abira),Rural,uninf_road,Rural,1.006987235,4.39,18.52320794,8.195976206,0.590614116,,8.195976206,13.87704083,0.065625888,0.290393356,1.857621584,,0.046516608,6.641618793,0.107242058,0.070696212,,0.010446162,0.009012262,0.00024474,28.74967785,0.219281847,91.02072141,0.066084431,0.292422403,1.870601223,,0.04684163,6.688025347,0.107991383,0.071190183,,0.010519152,0.009075233,0.00024645,28.95055862,0.220814021
51,agric_ref 8c (abira),Rural,uninf_road,Rural,1.039389994,5.24,30.05393342,14.30753788,1.121868027,,14.30753788,12.75331637,0.037275939,0.194188696,1.025659901,0.116237177,0.041062237,4.512858181,0.072156323,0.057519646,0.002727447,0.010356106,0.003635684,0.000217213,16.91233992,0.188959348,95.22998296,0.038744238,0.201837788,1.066060639,0.120815759,0.042679678,4.690619639,0.074998561,0.059785345,0.002834881,0.010764033,0.003778893,0.000225769,17.5785169,0.196402456
52,agric_ref 9a (abira),Rural,uninf_road,Rural,1.010335641,4.77,22.10057561,10.03713262,0.739693731,,10.03713262,13.56930876,0.071756327,0.3431353,2.005523388,0.114447522,0.100708071,7.715710073,0.1104338,0.088909145,0.001596046,0.011966538,0.015918433,0.00044959,32.74975271,0.225437877,89.91869919,0.072497975,0.346681823,2.026251758,0.11563041,0.101748953,7.795456882,0.111575205,0.089828078,0.001612542,0.012090219,0.016082961,0.000454237,33.08824239,0.227767921
53,agric_ref 9b (abira),Rural,uninf_road,Rural,1.009078507,5.12,32.25992391,13.40958831,0.977153624,,13.40958831,13.72311168,0.092694909,0.481166665,2.722918014,0.521793375,0.080604005,8.471892961,0.17539295,0.123049414,0.001943725,0.014568142,0.022054864,0.000481218,37.63383948,0.1494639,86.06016141,0.093536441,0.48553494,2.747638046,0.52653048,0.081335769,8.548805105,0.176985256,0.124166519,0.001961371,0.014700399,0.02225509,0.000485587,37.97549858,0.150820809
54,agric_ref 9c (abira),Rural,uninf_road,Rural,1.005907552,5.06,21.33690477,10.19280516,0.626854669,,10.19280516,16.26023648,0.052109557,0.264178597,1.418882728,0.222578845,0.054931441,5.199839244,0.082552114,0.064999245,0.0005797,0.006909311,0.006305501,0.000296459,21.6693837,0.204555825,92.41504854,0.052417397,0.265739246,1.427264852,0.223893741,0.055255952,5.230557567,0.083039795,0.065383231,0.000583125,0.006950128,0.006342751,0.00029821,21.79739672,0.205764249
57,ahinsan 1c,Long-term,uninf_road,Mid-high,1.016663488,6.73,50.56264367,28.96812133,1.448279273,2.210189444,26.75793188,18.47567136,0.080683585,0.910713753,2.159611104,12.67490774,0.108905216,8.934634785,0.742447708,0.191747449,0.010898519,0.044761605,0.017634032,0.000582016,27.70458908,0.330826356,84.44266239,0.082028055,0.925889421,2.195597757,12.88611591,0.110719957,9.083516964,0.754819476,0.19494263,0.011080127,0.04550749,0.017927877,0.000591714,28.16624417,0.336339077
60,ahinsan 2c,Long-term,uninf_road,Mid-high,1.027143103,4.93,19.79509925,7.165300506,0.598252272,,7.165300506,11.97705523,0.053665497,0.428535549,1.899617596,0.109664353,0.056252334,9.450530474,0.086698274,0.060369269,0.001446419,0.015341482,0.015591004,0.000419003,36.36192749,0.22878398,89.02439024,0.055122145,0.440167333,1.951179112,0.112640984,0.057779197,9.707047192,0.089051534,0.062007878,0.001485679,0.015757897,0.016014192,0.000430376,37.34890302,0.234993887
61,ahinsan 3a,Long-term,uninf_road,Mid-high,1.009580381,6.56,30.78330048,14.91919917,1.129785428,0.073504451,14.84569472,13.1402781,0.08777279,0.686624481,2.452211093,1.604172038,0.195706191,10.23262182,0.227307287,0.149978337,0.003535529,0.060268636,0.016186302,0.000523347,38.22703296,0.426158833,86.3372093,0.088613687,0.693202605,2.47570421,1.619540618,0.197581131,10.33065424,0.229484978,0.151415186,0.003569401,0.060846032,0.016341373,0.000528361,38.5932625,0.430241597
64,ahinsan 4a,Long-term,uninf_road,Mid-high,1.034817593,6.4,43.93559121,18.89560471,1.358018231,0.048050581,18.84755413,13.87871952,0.028960182,0.857173525,1.668133639,1.699932252,0.177442221,28.41500886,0.335533446,0.213609656,0.008600643,0.073073572,0.191755551,0.002147898,46.35839891,0.022995758,78.63128492,0.029968505,0.887018244,1.726214037,1.759119801,0.183620332,29.40435108,0.347215913,0.22104703,0.008900096,0.075617818,0.198432018,0.002222682,47.97248678,0.023796415
65,ahinsan 4b,Long-term,uninf_road,Mid-high,1.010611209,6.99,35.02810211,16.08027596,1.09857327,0.17143076,15.9088452,14.48136928,0.06631523,0.820590211,1.551843255,1.973664767,0.183765511,18.56054029,0.26741357,0.195457242,0.010023006,0.044949991,0.01202159,0.001045807,37.61676187,0.261310176,83.53317346,0.067018915,0.829297666,1.568310189,1.994607737,0.185715485,18.75749007,0.270251151,0.19753128,0.010129362,0.045426965,0.012149154,0.001056904,38.0159212,0.264082993
66,ahinsan 4c,Long-term,uninf_road,Mid-high,1.04901058,6.69,25.64727548,9.082595228,0.546842444,0.273934021,8.808661208,16.10822515,0.048412558,0.62496853,1.080067569,0.992561233,0.140364797,21.29398037,0.195432758,0.118952378,0.005453794,0.031635243,0.020553044,0.001281657,50.18420363,0.214433166,50.35161744,0.050785285,0.6555986,1.133002308,1.041207235,0.147244158,22.3376107,0.20501103,0.124782303,0.005721088,0.033185704,0.021560361,0.001344472,52.64376058,0.22494266
68,ahinsan 5b,Long-term,inf_road,High,1.029239024,7.01,52.99414373,22.52176364,1.57529365,0.413037056,22.10872659,14.03467003,0.076168327,0.777559693,2.721172665,3.72961705,0.222598889,36.95903306,0.820674638,0.232406325,0.011641355,0.063094123,0.048336904,0.002663612,74.50729545,0.03195524,68.66028708,0.078395414,0.800294779,2.800737098,3.838667411,0.229107463,38.03967911,0.844670364,0.239201659,0.011981736,0.064938933,0.049750227,0.002741494,76.68581603,0.03288958
72,ahinsan 6c,Long-term,inf_road,High,1.024149511,7.55,59.90425934,34.79267349,2.007232763,2.989979673,31.80269381,15.84404878,0.166521118,1.900670658,3.083941469,20.06578419,0.377601998,22.86611886,2.448682369,0.245358389,0.032309933,0.092412256,0.028046097,0.001221375,57.02020998,0.217194044,70.19748654,0.170542522,1.946570924,3.158417146,20.55036306,0.386720902,23.41832444,2.50781685,0.251283674,0.033090202,0.094643967,0.028723397,0.00125087,58.39722015,0.222439174
75,airport 1c,Long-term,inf_road,High,1.064093299,7.97,35.09930474,9.349321279,0.629525338,1.165664894,8.183656385,12.99972518,0.098144572,0.74026037,1.709570545,3.373450731,0.129000037,27.25607635,0.301854693,0.142756955,0.005662459,0.0613065,0.028986151,0.001591512,73.96192848,0.200983116,74.59893048,0.104434982,0.787706099,1.819142561,3.589666318,0.137268075,29.0030082,0.321201556,0.15190672,0.006025385,0.065235836,0.030843969,0.001693517,78.70239248,0.213864787
76,airport 2a,Long-term,inf_road,High,1.013933018,7.92,29.96069571,13.0413989,0.771235908,1.821140322,11.22025857,14.54841309,0.103612202,0.68339848,1.374872267,3.863083622,0.124177979,18.16163339,0.381359092,0.166458691,0.013395457,0.089578627,0.022208036,0.001089009,42.17508581,0.244525634,84.41345365,0.105055832,0.692920283,1.394028387,3.916908035,0.125908153,18.41467975,0.386672575,0.168777963,0.013582096,0.090826728,0.022517461,0.001104182,42.76271204,0.247932614
81,airport 3c,Long-term,uninf_road,Mid-high,1.013722634,5.5,38.35738018,15.21180839,1.143710947,,15.21180839,13.3003959,0.012749527,0.223295066,0.292630758,0.333917236,0.115519302,8.19005033,0.115274386,0.073752708,0.003193417,0.011265436,0.004643581,0.000403701,18.19291878,0.34544637,93.78774806,0.012924484,0.226359263,0.296646423,0.33849946,0.117104531,8.302439396,0.116856254,0.074764789,0.003237239,0.011420027,0.004707303,0.000409241,18.44257355,0.350186804
83,airport 4b,Long-term,inf_road,High,1.026253565,6.88,67.34027253,28.36924925,2.460282982,0.036614741,28.33263451,11.51600638,0.100587194,0.805601665,1.439866644,4.086374135,0.529666309,34.89995411,0.924845448,0.322508203,0.027535162,0.146061213,0.037088002,0.00228602,58.3688005,0.254237403,68.08149406,0.103227966,0.826751581,1.477668276,4.193656024,0.543571938,35.81620232,0.949125938,0.330975193,0.028258058,0.14989584,0.038061695,0.002346036,59.9011896,0.260912041
